iter	Passed	Remaining
1131	7993	6128
1132	7998	6120
1133	8004	6113
1134	8011	6105
1135	8017	6097
1136	8023	6090
1137	8030	6082
1138	8035	6074
1139	8042	6066
1140	8048	6058
1141	8053	6051
1142	8060	6043
1143	8066	6036
1144	8073	6028
1145	8079	6021
1146	8086	6013
1147	8092	6006
1148	8098	5998
1149	8105	5990
1150	8111	5983
1151	8117	5975
1152	8124	5967
1153	8129	5960
1154	8136	5952
1155	8142	5944
1156	8148	5937
1157	8154	5929
1158	8160	5921
1159	8167	5914
1160	8173	5906
1161	8179	5898
1162	8185	5891
1163	8191	5883
1164	8197	5875
1165	8204	5868
1166	8210	5860
1167	8216	5853
1168	8223	5845
1169	8229	5837
1170	8235	5830
1171	8241	5822
1172	8247	5814
1173	8253	5807
1174	8259	5799
1175	8267	5792
1176	8273	5785
1177	8280	5778
1178	8287	5770
1179	8293	5763
1180	8300	5756
1181	8307	5749
1182	8313	5741
1183	8320	5734
1184	8327	5727
1185	8335	5720
1186	8342	5713
1187	8350	5707
1188	8358	5701
1189	8367	5695
1190	8374	5688
1191	8382	5681
1192	8388	5674
1193	8396	5668
1194	8403	5660
1195	8410	5653
1196	8417	5646
1197	8424	5639
1198	8431	5632
1199	8437	5625
1200	8444	5617
1201	8450	5610
1202	8456	5602
1203	8463	5595
1204	8470	5588
1205	8476	5580
1206	8483	5573
1207	8489	5566
1208	8496	5558
1209	8502	5551
1210	8509	5544
1211	8517	5537
1212	8523	5530
1213	8530	5523
1214	8536	5515
1215	8543	5508
1216	8549	5500
1217	8556	5493
1218	8562	5486
1219	8569	5478
1220	8576	5471
1221	8582	5464
1222	8589	5457
1223	8596	5449
1224	8603	5442
1225	8609	5435
1226	8616	5428
1227	8622	5420
1228	8630	5414
1229	8636	5406
1230	8643	5399
1231	8649	5392
1232	8656	5384
1233	8662	5377
1234	8669	5370
1235	8676	5363
1236	8684	5356
1237	8692	5350
1238	8700	5343
1239	8707	5336
1240	8713	5329
1241	8719	5321
1242	8727	5314
1243	8733	5307
1244	8739	5300
1245	8746	5292
1246	8753	5285
1247	8759	5278
1248	8769	5272
1249	8776	5265
1250	8783	5259
1251	8792	5253
1252	8802	5247
1253	8810	5241
1254	8818	5234
1255	8826	5228
1256	8833	5221
1257	8840	5214
1258	8846	5206
1259	8854	5199
1260	8861	5192
1261	8867	5185
1262	8874	5178
1263	8881	5171
1264	8888	5164
1265	8894	5157
1266	8902	5150
1267	8909	5143
1268	8916	5136
1269	8923	5129
1270	8930	5121
1271	8937	5115
1272	8943	5107
1273	8950	5100
1274	8957	5093
1275	8964	5086
1276	8971	5079
1277	8977	5071
1278	8984	5064
1279	8990	5057
1280	8997	5050
1281	9003	5042
1282	9010	5035
1283	9018	5029
1284	9025	5022
1285	9032	5015
1286	9039	5008
1287	9046	5000
1288	9053	4993
1289	9060	4987
1290	9068	4980
1291	9075	4972
1292	9081	4965
1293	9088	4958
1294	9094	4951
1295	9101	4944
1296	9109	4937
1297	9115	4930
1298	9122	4923
1299	9129	4915
1300	9136	4909
1301	9143	4901
1302	9150	4895
1303	9157	4887
1304	9164	4880
1305	9171	4873
1306	9178	4866
1307	9186	4860
1308	9195	4853
1309	9205	4848
1310	9214	4842
1311	9224	4837
1312	9234	4831
1313	9244	4826
1314	9253	4820
1315	9261	4813
1316	9267	4806
1317	9274	4799
1318	9281	4791
1319	9288	4784
1320	9295	4777
1321	9301	4770
1322	9309	4763
1323	9316	4756
1324	9322	4749
1325	9330	4742
1326	9337	4735
1327	9345	4728
1328	9351	4721
1329	9358	4714
1330	9367	4708
1331	9374	4701
1332	9381	4694
1333	9388	4687
1334	9395	4679
1335	9401	4672
1336	9408	4665
1337	9414	4658
1338	9421	4650
1339	9427	4643
1340	9435	4636
1341	9442	4629
1342	9449	4622
1343	9456	4615
1344	9463	4608
1345	9470	4601
1346	9477	4594
1347	9483	4587
1348	9490	4580
1349	9497	4572
1350	9503	4565
1351	9510	4558
1352	9517	4551
1353	9523	4543
1354	9530	4536
1355	9537	4529
1356	9544	4522
1357	9550	4515
1358	9557	4507
1359	9564	4500
1360	9571	4493
1361	9578	4486
1362	9585	4479
1363	9592	4472
